title,provider,year,status,type
PostgreSQL Intermediate,Udemy,2023,Completed,Course
Advanced Diploma in Python Programming,CSC,,Completed,Certification
BEC - Vantage Level,Cambridge,,"Score: 131",Certification
Java 8,Udemy,2022,Completed,Course
Technical English for Engineer,NPTEL,,Completed,Course
Enhancing Soft Skills and Personality,NPTEL,,Completed,Course
C++ Java PHP & MySQL,IIT Bombay,,Completed,Certification
Ethical Hacking Training,,June 2020,Completed,Training
AWS/GCP Certification,,"In Progress",In Progress,Certification
React JS,Udemy,2024,Completed,Course 